,広告名,メインウェブサイト名,キャンペーン,広告タイプ,バナーサイズ,アフィリエイト報酬,インプレッション,CTR,CVR,7日間のクリック,過去7日間の報酬,獲得報酬,リンクテキスト,テキストリンクコード,バナーコード,短縮リンク,登録日
1,ニコチン・タール0の大人気VAPE！Parfum（パルファン）200x200_02,電子タバコのParfum,電子タバコ,広告,200x200,"¥5,000",0,743%,2%,0,0,0,愛用者続出の新型VAPE「香りを味わう新しいリフレッシュ」Parfum,<a href = 'https://mttag.com/s/faeIlj3NifM' rel='nofollow'><strong>愛用者続出の新型VAPE「香りを味わう新しいリフレッシュ」Parfum</strong></a><img src = 'https://mttag.com/banner/faeIlj3NifM' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/faeIlj3NifM' rel='nofollow'><img src = 'https://mttag.com/banner/faeIlj3NifM' alt = '新型電子タバコParfum（パルファン）' width = '200' height = '200' border = '0' /></a>,https://mttag.com/s/faeIlj3NifM,2021-12-28 07:49:26.094000
2,ニコチン・タール0の大人気VAPE！Parfum（パルファン）200x200_01,電子タバコのParfum,電子タバコ,広告,200x200,"¥5,000",0,0%,0%,0,0,0,愛用者続出の新型VAPE「香りを味わう新しいリフレッシュ」Parfum,<a href = 'https://mttag.com/s/hB2Kfzo2rZs' rel='nofollow'><strong>愛用者続出の新型VAPE「香りを味わう新しいリフレッシュ」Parfum</strong></a><img src = 'https://mttag.com/banner/hB2Kfzo2rZs' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/hB2Kfzo2rZs' rel='nofollow'><img src = 'https://mttag.com/banner/hB2Kfzo2rZs' alt = '新型電子タバコParfum（パルファン）' width = '200' height = '200' border = '0' /></a>,https://mttag.com/s/hB2Kfzo2rZs,2021-12-28 07:48:32.076000
8,ニコチン・タール0でタバコに代わる先進的なリフレッシュ方法Parfum（パルファン）250x250_02,電子タバコのParfum,電子タバコ,広告,250x250,"¥5,000",0,0%,0%,0,0,0,ニコチン・タール0の大人気VAPE！Parfum（パルファン）,<a href = 'https://mttag.com/s/dTcE0wdg1QU' rel='nofollow'><strong>ニコチン・タール0の大人気VAPE！Parfum（パルファン）</strong></a><img src = 'https://mttag.com/banner/dTcE0wdg1QU' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/dTcE0wdg1QU' rel='nofollow'><img src = 'https://mttag.com/banner/dTcE0wdg1QU' alt = 'オシャレで健康的な新しいリラックスツールParfum（パルファン）' width = '250' height = '250' border = '0' /></a>,https://mttag.com/s/dTcE0wdg1QU,2021-12-28 06:25:58.525000
9,ニコチン・タール0でタバコに代わる先進的なリフレッシュ方法Parfum（パルファン）250x250_01,電子タバコのParfum,電子タバコ,広告,250x250,"¥5,000",0,0%,0%,0,0,0,ニコチン・タール0の大人気VAPE！Parfum（パルファン）,<a href = 'https://mttag.com/s/HKr0rT0-ayQ' rel='nofollow'><strong>ニコチン・タール0の大人気VAPE！Parfum（パルファン）</strong></a><img src = 'https://mttag.com/banner/HKr0rT0-ayQ' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/HKr0rT0-ayQ' rel='nofollow'><img src = 'https://mttag.com/banner/HKr0rT0-ayQ' alt = 'オシャレで健康的な新しいリラックスツールParfum（パルファン）' width = '250' height = '250' border = '0' /></a>,https://mttag.com/s/HKr0rT0-ayQ,2021-12-28 06:21:28.526000
10,250×250,有料キャリアコーチングサービス「キャリート」,キャリート／無料相談予約,広告,250x250,"¥10,000",0,0%,83%,0,0,0,キャリートのHPはこちら,<a href = 'https://mttag.com/s/6sVFNEgVL4A' rel='nofollow'><strong>キャリートのHPはこちら</strong></a><img src = 'https://mttag.com/banner/6sVFNEgVL4A' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/6sVFNEgVL4A' rel='nofollow'><img src = 'https://mttag.com/banner/6sVFNEgVL4A' alt = 'キャリートのHPはこちら' width = '250' height = '250' border = '0' /></a>,https://mttag.com/s/6sVFNEgVL4A,2021-12-24 08:53:07.292000
16,ミマモルGPSバナー 300×250,ミマモルGPS,ミマモルGPSアフィリエイト,広告,300x250,15 %,0,0%,0%,0,0,0,GPS発信機、小型GPSでの追跡機をレンタル・販売しているミマモルGPS,<a href = 'https://mttag.com/s/ewIA8_YGqUQ' rel='nofollow'><strong>GPS発信機、小型GPSでの追跡機をレンタル・販売しているミマモルGPS</strong></a><img src = 'https://mttag.com/banner/ewIA8_YGqUQ' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/ewIA8_YGqUQ' rel='nofollow'><img src = 'https://mttag.com/banner/ewIA8_YGqUQ' alt = 'GPS発信機、小型GPSでの追跡機をレンタル・販売しているミマモルGPS' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/ewIA8_YGqUQ,2021-12-17 05:58:11.208000
19,ミマモルGPSネクスト 15日間レンタル,ミマモルGPS,ミマモルGPSアフィリエイト,広告,250x250,15 %,0,0%,0%,0,0,0,GPS発信機、小型GPSでの追跡機をレンタル・販売しているミマモルGPS,<a href = 'https://mttag.com/s/LodEqDSwk-I' rel='nofollow'><strong>GPS発信機、小型GPSでの追跡機をレンタル・販売しているミマモルGPS</strong></a><img src = 'https://mttag.com/banner/LodEqDSwk-I' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/LodEqDSwk-I' rel='nofollow'><img src = 'https://mttag.com/banner/LodEqDSwk-I' alt = 'GPS発信機、小型GPSでの追跡機をレンタル・販売しているミマモルGPS' width = '250' height = '250' border = '0' /></a>,https://mttag.com/s/LodEqDSwk-I,2021-12-15 02:57:04.606000
27,ミマモルGPSネクスト 30日間レンタル,ミマモルGPS,ミマモルGPSアフィリエイト,広告,250x250,15 %,0,289%,2%,0,0,0,GPS発信機、小型GPSでの追跡機をレンタル・販売しているミマモルGPS,<a href = 'https://mttag.com/s/IxsOUE2QvcI' rel='nofollow'><strong>GPS発信機、小型GPSでの追跡機をレンタル・販売しているミマモルGPS</strong></a><img src = 'https://mttag.com/banner/IxsOUE2QvcI' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/IxsOUE2QvcI' rel='nofollow'><img src = 'https://mttag.com/banner/IxsOUE2QvcI' alt = 'GPS発信機、小型GPSでの追跡機をレンタル・販売しているミマモルGPS' width = '250' height = '250' border = '0' /></a>,https://mttag.com/s/IxsOUE2QvcI,2021-11-22 08:18:55.456000
28,Moroccanoil（モロッカンオイル）｜300x250,格安デパコス通販 - ブランドコスメ,ブランド,広告,300x250,10 %,0,43%,0%,0,0,0,Moroccanoil（モロッカンオイル）/化粧品通販ブランドコスメ,<a href = 'https://mttag.com/s/nLmaKx3upNo' rel='nofollow'><strong>Moroccanoil（モロッカンオイル）/化粧品通販ブランドコスメ</strong></a><img src = 'https://mttag.com/banner/nLmaKx3upNo' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/nLmaKx3upNo' rel='nofollow'><img src = 'https://mttag.com/banner/nLmaKx3upNo' alt = 'Moroccanoil（モロッカンオイル）' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/nLmaKx3upNo,2021-11-19 08:26:18.509000
29,Schwarzkopf（シュワルツコフ）｜300x250,格安デパコス通販 - ブランドコスメ,ブランド,広告,300x250,10 %,0,0%,0%,0,0,0,Schwarzkopf（シュワルツコフ）/化粧品通販ブランドコスメ,<a href = 'https://mttag.com/s/BFVpIN47Zws' rel='nofollow'><strong>Schwarzkopf（シュワルツコフ）/化粧品通販ブランドコスメ</strong></a><img src = 'https://mttag.com/banner/BFVpIN47Zws' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/BFVpIN47Zws' rel='nofollow'><img src = 'https://mttag.com/banner/BFVpIN47Zws' alt = 'Schwarzkopf（シュワルツコフ）' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/BFVpIN47Zws,2021-11-19 08:25:14.916000
30,L'Occitane（ロクシタン）｜300x250,格安デパコス通販 - ブランドコスメ,ブランド,広告,300x250,10 %,0,16%,0%,0,0,0,L'Occitane（ロクシタン）/化粧品通販ブランドコスメ,<a href = 'https://mttag.com/s/0UekKCsgahc' rel='nofollow'><strong>L'Occitane（ロクシタン）/化粧品通販ブランドコスメ</strong></a><img src = 'https://mttag.com/banner/0UekKCsgahc' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/0UekKCsgahc' rel='nofollow'><img src = 'https://mttag.com/banner/0UekKCsgahc' alt = 'L'Occitane（ロクシタン）' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/0UekKCsgahc,2021-11-19 08:24:14.655000
31,Kerastase（ケラスターゼ）｜300x250,格安デパコス通販 - ブランドコスメ,ブランド,広告,300x250,10 %,0,61%,0%,0,0,0,Kerastase（ケラスターゼ）/化粧品通販ブランドコスメ,<a href = 'https://mttag.com/s/xg0nDb9km_w' rel='nofollow'><strong>Kerastase（ケラスターゼ）/化粧品通販ブランドコスメ</strong></a><img src = 'https://mttag.com/banner/xg0nDb9km_w' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/xg0nDb9km_w' rel='nofollow'><img src = 'https://mttag.com/banner/xg0nDb9km_w' alt = 'Kerastase（ケラスターゼ）' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/xg0nDb9km_w,2021-11-19 08:23:21.561000
32,Chloe（クロエ）｜300x250,格安デパコス通販 - ブランドコスメ,ブランド,広告,300x250,10 %,0,0%,0%,0,0,0,Chloe（クロエ）/化粧品通販ブランドコスメ,<a href = 'https://mttag.com/s/j3gx2Su9rIg' rel='nofollow'><strong>Chloe（クロエ）/化粧品通販ブランドコスメ</strong></a><img src = 'https://mttag.com/banner/j3gx2Su9rIg' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/j3gx2Su9rIg' rel='nofollow'><img src = 'https://mttag.com/banner/j3gx2Su9rIg' alt = 'Chloe（クロエ）' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/j3gx2Su9rIg,2021-11-19 08:22:32.525000
33,Aveda（アヴェダ）｜300x250,格安デパコス通販 - ブランドコスメ,ブランド,広告,300x250,10 %,0,0%,0%,0,0,0,Aveda（アヴェダ）/化粧品通販ブランドコスメ,<a href = 'https://mttag.com/s/3qV2WW_76YA' rel='nofollow'><strong>Aveda（アヴェダ）/化粧品通販ブランドコスメ</strong></a><img src = 'https://mttag.com/banner/3qV2WW_76YA' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/3qV2WW_76YA' rel='nofollow'><img src = 'https://mttag.com/banner/3qV2WW_76YA' alt = 'Aveda（アヴェダ）' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/3qV2WW_76YA,2021-11-19 08:21:41.375000
34,Stila（スティラ）｜300x250,格安デパコス通販 - ブランドコスメ,ブランド,広告,300x250,10 %,0,0%,0%,0,0,0,Stila（スティラ）/化粧品通販ブランドコスメ,<a href = 'https://mttag.com/s/Rsn3EL27Lfo' rel='nofollow'><strong>Stila（スティラ）/化粧品通販ブランドコスメ</strong></a><img src = 'https://mttag.com/banner/Rsn3EL27Lfo' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/Rsn3EL27Lfo' rel='nofollow'><img src = 'https://mttag.com/banner/Rsn3EL27Lfo' alt = 'Stila（スティラ）' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/Rsn3EL27Lfo,2021-11-19 08:20:28.906000
35,SUQQU（スック）｜300x250,格安デパコス通販 - ブランドコスメ,ブランド,広告,300x250,10 %,0,83%,0%,0,0,0,SUQQU（スック）/化粧品通販ブランドコスメ,<a href = 'https://mttag.com/s/8b_QHHc4bIk' rel='nofollow'><strong>SUQQU（スック）/化粧品通販ブランドコスメ</strong></a><img src = 'https://mttag.com/banner/8b_QHHc4bIk' width = '1' height = '1' border = '0' />,<a href='https://mttag.com/s/8b_QHHc4bIk' rel='nofollow'><img src = 'https://mttag.com/banner/8b_QHHc4bIk' alt = 'SUQQU（スック）' width = '300' height = '250' border = '0' /></a>,https://mttag.com/s/8b_QHHc4bIk,2021-11-19 08:19:12.976000
